OACI;CIAD;Nome;Município;UF;Tipo;LATGEOPOINT;LONGEOPOINT;Latitude;Longitude;Altitude;Operação Diurna;Operação Noturna;Rampa de Aproximação;Formato da Área de Pouso;Dimensões;Resistência do Pavimento;Superfície;Validade do Registro;Portaria de Registro;Link Portaria;Luzes de Aproximação;Luzes de Área de Toque e Elevação Inicial (TLOF);Indicador Visual de Rampa de Aproximação;Luzes Indicadoras de Área de Aproximação Final de Decolagem (FATO);Luzes de Obstáculo;Luzes de Ponto de Vizada de Heliponto
SDMZ;SP0387;Mercedes-Benz do Brasil ;SÃO BERNARDO DO CAMPO;São Paulo;No solo;-23,663333;-46,579444;23°39'48.0"S;046°34'46.0"W;749,0;VFR;VFR;29;Quadrado;21 m;6,00;Concreto;10/03/2024;PA2015-0315;https://pergamum.anac.gov.br/arquivos/PA2015-0315.pdf;;;;;;
SJUE;SP0665;Ecological Center;BARUERI;São Paulo;No solo;-23,535;-46,875278;23°32'06.0"S;046°52'31.0"W;785,0;VFR;Sem Operação;14;Quadrado;24 m;6,00;Concreto;25/03/2031;PA2021-4511;https://pergamum.anac.gov.br/arquivos/PA2021-4511.pdf;;;;;;
SIBM;SP0468;Hangar ABC;SÃO CAETANO DO SUL;São Paulo;No solo;-23,616944;-46,580278;23°37'01.0"S;046°34'49.0"W;738,0;VFR;VFR;1;Quadrado;21 m;5,00;Concreto;25/01/2031;PA2020-4036;https://pergamum.anac.gov.br/arquivos/PA2020-4036.pdf;;;;;;
SIJD;SP0510;João Dias;SÃO PAULO;São Paulo;Elevado;-23,643611;-46,717778;23°38'37.0"S;046°43'04.1"W;772,0;VFR;VFR;3 21;Quadrado;24 m;5,00;Concreto;29/12/2030;PA2020-3794;https://pergamum.anac.gov.br/arquivos/PA2020-3794.pdf;;;;;;
SJRL;PR0124;Ryhad Palace Hotel;ARAUCÁRIA;Paraná;No solo;-25,582778;-49,396944;25°34'58.0"S;049°23'49.0"W;939,0;VFR;VFR;12 32;Quadrado;20 m;3,00;Concreto;27/01/2024;PA2014-0204;https://pergamum.anac.gov.br/arquivos/PA2014-0204.pdf;;;;;;
SJOL;SP0640;RS Morizono;BARUERI;São Paulo;No solo;-23,508056;-46,836111;23°30'29.0"S;046°50'10.0"W;745,0;VFR;VFR;10 28;Quadrado;30 m;9,00;Concreto;05/04/2022;PA2012-0634;https://pergamum.anac.gov.br/arquivos/PA2012-0634.pdf;;;;;;
SSAR;RJ0141;SC Araras;PETRÓPOLIS;Rio de Janeiro;No solo;-22,427222;-43,216944;22°25'38.0"S;043°13'01.0"W;886,0;VFR;VFR;12;Quadrado;21,45 m;5,00;Concreto;16/09/2024;PA2014-2173;https://pergamum.anac.gov.br/arquivos/PA2014-2173.pdf;;;;;;
SWNY;SP0820;Fazenda Canaã;LUÍS ANTÔNIO;São Paulo;No solo;-21,534444;-47,686111;21°32'04.0"S;047°41'10.0"W;620,0;VFR;VFR;12;Quadrado;21 m;4,50;Concreto;24/10/2022;PA2014-0703;https://pergamum.anac.gov.br/arquivos/PA2014-0703.pdf;;;;;;
SIVH;SP0562;Sítio Santa Chiara;ORLÂNDIA;São Paulo;No solo;-20,705;-47,881111;20°42'18.0"S;047°52'52.0"W;701,0;VFR;;28;Quadrado;21 m;5,00;Concreto;06/05/2025;PA2015-1052;https://pergamum.anac.gov.br/arquivos/PA2015-1052.pdf;;;;;;
SJQC;SP0649;Jequitimar;GUARUJÁ;São Paulo;Elevado;-23,970278;-46,1875;23°58'13.0"S;046°11'15.0"W;12,0;VFR;VFR;4;Quadrado;24 m;6,00;Concreto;02/01/2022;PA2015-1889;https://pergamum.anac.gov.br/arquivos/PA2015-1889.pdf;;;;;;
SJCO;SP0607;Castello 54;ARAÇARIGUAMA;São Paulo;No solo;-23,430833;-47,111667;23°25'51.0"S;047°06'42.0"W;749,0;VFR;VFR;32;Quadrado;21 m;4,00;Concreto;02/03/2025;PA2015-0504;https://pergamum.anac.gov.br/arquivos/PA2015-0504.pdf;;;;;;
SDOF;SP0393;Edifício Palladio;SÃO PAULO;São Paulo;Elevado;-23,594722;-46,685556;23°35'41.0"S;046°41'08.0"W;789,0;VFR;VFR;9;Quadrado;21 m;4,50;Concreto;23/07/2025;PA2015-1950;https://pergamum.anac.gov.br/arquivos/PA2015-1950.pdf;;;;;;
SDFR;CE0028;Riomar Fortaleza;FORTALEZA;Ceará;Elevado;-3,7411111;-38,473333;03°44'28.1"S;038°28'24.6"W;91,0;VFR;VFR;4 25;Quadrado;21 m;4,00;Concreto;31/07/2025;PA2015-2035;https://pergamum.anac.gov.br/arquivos/PA2015-2035.pdf;;;;;;
SIAH;CE0031;Haras RM;AQUIRAZ;Ceará;No solo;-3,9130556;-38,434722;03°54'47.0"S;038°26'05.0"W;24,0;VFR;VFR;27;Quadrado;21 m;6,00;Concreto;20/02/2025;PA2015-0437;https://pergamum.anac.gov.br/arquivos/PA2015-0437.pdf;;;;;;
SJGX;MG0241;Gutierrez;SETE LAGOAS;Minas Gerais;No solo;-19,455278;-44,376389;19°27'19.0"S;044°22'35.0"W;734,0;VFR;VFR;24;Quadrado;21 m;4,00;Concreto;09/03/2025;PA2015-0590;https://pergamum.anac.gov.br/arquivos/PA2015-0590.pdf;;;;;;
SJUY;RJ0116;Sinal Empreendimentos;RIO DAS OSTRAS;Rio de Janeiro;No solo;-22,488333;-41,934444;22°29'18.0"S;041°56'04.0"W;10,0;VFR;VFR;2 28;Quadrado;21 m;4,25;Concreto;13/12/2021;PA2011-2424;https://pergamum.anac.gov.br/arquivos/PA2011-2424.pdf;;;;;;
SJFD;RJ0102;Méier Medical Center;RIO DE JANEIRO;Rio de Janeiro;Elevado;-22,899167;-43,281389;22°53'57.0"S;043°16'53.0"W;54,0;VFR;VFR;30;Quadrado;19,5 m;4,00;Concreto;12/08/2021;PA2011-1532;https://pergamum.anac.gov.br/arquivos/PA2011-1532.pdf;;;;;;
SDIK;SP0355;Alpha Business Empresarial;CAMPINAS;São Paulo;Elevado;-22,819444;-47,035278;22°49'10.0"S;047°02'07.0"W;623,0;VFR;VFR;18;Quadrado;18 m;4,00;Concreto;21/07/2031;PA2021-5486;https://pergamum.anac.gov.br/arquivos/PA2021-5486.pdf;;;;;;
SDPF;SP0401;Soufer Paulínia;PAULÍNIA;São Paulo;No solo;-22,726944;-47,167778;22°43'37.0"S;047°10'04.0"W;592,0;VFR;VFR;24 33;Quadrado;21 m;4,30;Concreto;01/02/2022;PA2012-0223;https://pergamum.anac.gov.br/arquivos/PA2012-0223.pdf;;;;;;
SJSG;AL0017;Usina Serra Grande;SÃO JOSÉ DA LAJE;Alagoas;No solo;-8,9780556;-36,070278;08°58'41.0"S;036°04'13.0"W;358,0;VFR;VFR;15 30;Quadrado;19,5 m;3,00;Paralelepípedo;22/10/2030;PA2020-2662;https://pergamum.anac.gov.br/arquivos/PA2020-2662.pdf;;;;;;
SIBH;SP0467;Helicidade;SÃO PAULO;São Paulo;Elevado;-23,546667;-46,736944;23°32'48.0"S;046°44'13.0"W;737,0;VFR;VFR;2 17;Quadrado;24 m;6,00;Concreto;12/04/2022;PA2012-0664;https://pergamum.anac.gov.br/arquivos/PA2012-0664.pdf;;;;;;
SJUF;AP0012;Silvestre;PEDRA BRANCA DO AMAPARI;Amapá;No solo;,856111111;-51,89;00°51'22.0"N;051°53'24.0"W;136,0;VFR;;1;Quadrado;29 m;9,00;Concreto;16/01/2023;PA2016-3861;https://pergamum.anac.gov.br/arquivos/PA2016-3861.pdf;;;;;;
SDBM;SP0298;Beneficência Portuguesa;SÃO PAULO;São Paulo;Elevado;-23,567778;-46,641389;23°34'04.0"S;046°38'29.0"W;848,0;VFR;VFR;28;Quadrado;20 m;4,00;Metálico;13/09/2022;PA2012-1826;https://pergamum.anac.gov.br/arquivos/PA2012-1826.pdf;;;;;;
SJQM;MA0064;Fazenda Valor;IGARAPÉ DO MEIO;Maranhão;No solo;-3,6508333;-45,202778;03°39'03.0"S;045°12'10.0"W;35,0;VFR;;9;Quadrado;18 m;3,00;Grama;26/07/2022;PA2018-3292;https://pergamum.anac.gov.br/arquivos/PA2018-3292.pdf;;;;;;
SJOE;SP0638;Haras Cachoeira;ITU;São Paulo;No solo;-23,246667;-47,424722;23°14'48.0"S;047°25'29.0"W;532,0;VFR;VFR;4;Quadrado;20,25 m;3,50;Grama;11/07/2022;PA2019-3094;https://pergamum.anac.gov.br/arquivos/PA2019-3094.pdf;;;;;;
SDKV;SP0377;Rede Globo;SÃO PAULO;São Paulo;No solo;-23,614722;-46,696944;23°36'53.0"S;046°41'49.0"W;727,0;VFR;VFR;3;Quadrado;21 m;10,00;Concreto;21/07/2031;PA2021-5428;https://pergamum.anac.gov.br/arquivos/PA2021-5428.pdf;;;;;;
SSHS;PR0136;Helisul IV;FOZ DO IGUAÇU;Paraná;No solo;-25,613056;-54,481389;25°36'47.0"S;054°28'53.0"W;210,0;VFR;;1 10;Quadrado;19,5 m;3,00;Concreto;14/10/2024;PA2014-2404;https://pergamum.anac.gov.br/arquivos/PA2014-2404.pdf;;;;;;
SDDZ;PR0101;Vila São Paulo/Mercosul;ALVORADA DO SUL;Paraná;No solo;-22,696667;-51,3325;22°41'48.0"S;051°19'57.0"W;371,0;VFR;VFR;10 32;Quadrado;18 m;4,00;Concreto;26/03/2031;PA2021-4565;https://pergamum.anac.gov.br/arquivos/PA2021-4565.pdf;;;;;;
SJBE;SP0593;Ortosíntese;SÃO PAULO;São Paulo;Elevado;-23,438889;-46,724444;23°26'20.0"S;046°43'28.0"W;836,0;VFR;Sem Operação;6 28;Quadrado;18 m;3,00;Concreto;24/09/2023;PA2013-2648;https://pergamum.anac.gov.br/arquivos/PA2013-2648.pdf;;;;;;
SDBL;SP0297;BFC;SÃO PAULO;São Paulo;Elevado;-23,562222;-46,654167;23°33'44.0"S;046°39'15.0"W;891,0;VFR;VFR;17 32;Quadrado;21 m;6,00;Concreto;08/02/2022;PA2015-0289;https://pergamum.anac.gov.br/arquivos/PA2015-0289.pdf;;;;;;
SSIG;PR0138;Isogama;SÃO JOSÉ DOS PINHAIS;Paraná;No solo;-25,633333;-49,161111;25°38'00.0"S;049°09'40.0"W;907,0;VFR;VFR;9;Quadrado;18 m;3,00;Grama;23/07/2023;PA2013-1893;https://pergamum.anac.gov.br/arquivos/PA2013-1893.pdf;;;;;;
SJAP;SP0591;Marjan;VALINHOS;São Paulo;No solo;-22,914167;-46,984722;22°54'51.1"S;046°59'05.6"W;698,0;VFR;VFR;27;Quadrado;20 m;4,00;Grama;19/11/2030;PA2020-3199;https://pergamum.anac.gov.br/arquivos/PA2020-3199.pdf;;;;;;
SIFZ;SP0491;Hungria 1100;SÃO PAULO;São Paulo;Elevado;-23,577778;-46,694167;23°34'40.3"S;046°41'39.5"W;766,0;VFR;VFR;12;Quadrado;21 m;4,25;Concreto;26/03/2022;PA2013-1292;https://pergamum.anac.gov.br/arquivos/PA2013-1292.pdf;;;;;;
SIGZ;SP0498;Represa;SÃO PAULO;São Paulo;Elevado;-23,616944;-46,698889;23°37'01.6"S;046°41'56.2"W;864,0;VFR;VFR;12 30;Quadrado;18 m;3,00;Concreto;20/08/2022;PA2013-1023;https://pergamum.anac.gov.br/arquivos/PA2013-1023.pdf;;;;;;
SIHM;CE0033;Dragão do Ar;FORTALEZA;Ceará;No solo;-3,8016667;-38,433333;03°48'06.0"S;038°26'00.9"W;10,0;VFR;VFR;11;Quadrado;20 m;6,00;Concreto;04/04/2023;PA2013-0877;https://pergamum.anac.gov.br/arquivos/PA2013-0877.pdf;;;;;;
SDHT;SP0348;Cetenco Plaza - Torre Norte;SÃO PAULO;São Paulo;Elevado;-23,558611;-46,6575;23°33'31.9"S;046°39'27.3"W;897,0;VFR;Sem Operação;2;Quadrado;18 m;3,00;Concreto;26/04/2022;PA2013-1293;https://pergamum.anac.gov.br/arquivos/PA2013-1293.pdf;;;;;;
SICH;SP0474;Hotel Campos do Jordão;CAMPOS DO JORDÃO;São Paulo;No solo;-22,717778;-45,567778;22°43'04.0"S;045°34'04.0"W;1640,0;VFR;VFR;9 27;Quadrado;21 m;4,25;Concreto;10/05/2023;PA2013-1161;https://pergamum.anac.gov.br/arquivos/PA2013-1161.pdf;;;;;;
SDKM;SP0373;Hotel Emiliano;SÃO PAULO;São Paulo;Elevado;-23,566111;-46,665278;23°33'58.0"S;046°39'55.0"W;825,0;VFR;VFR;15 15 36 36;Quadrado;19,5 m;3,00;Metálico;12/04/2022;PA2014-3143;https://pergamum.anac.gov.br/arquivos/PA2014-3143.pdf;;;;;;
SSYX;GO0174;MOBI;APARECIDA DE GOIÂNIA;Goiás;No solo;-16,791667;-49,261389;16°47'30.0"S;049°15'41.0"W;760,0;VFR;;8;Quadrado;18 m;3,00;Concreto;;;;;;;;;
SNGE;PE0043;Ilha do Retiro;RECIFE;Pernambuco;No solo;-8,0666667;-34,901944;08°04'00.0"S;034°54'07.0"W;20,0;VFR;VFR;8;Quadrado;18 m;5,00;Concreto;;;;;;;;;
SJWK;CE0047;FIEC;FORTALEZA;Ceará;Elevado;-3,7408333;-38,509167;03°44'27.0"S;038°30'33.0"W;40,0;VFR;VFR;16 31;Quadrado;18 m;1,45;Concreto;;;;;;;;;
SIPS;MG0231;Haras Forum;PEDRO LEOPOLDO;Minas Gerais;No solo;-19,658889;-44,146944;19°39'32.0"S;044°08'49.0"W;836,0;VFR;VFR;5;Quadrado;21 m;5,00;Concreto;16/06/2024;PA2014-1404;https://pergamum.anac.gov.br/arquivos/PA2014-1404.pdf;;;;;;
SDYC;RJ0063;Amarras;ARMAÇÃO DOS BÚZIOS;Rio de Janeiro;No solo;-22,774722;-41,901667;22°46'29.0"S;041°54'06.0"W;38,0;VFR;VFR;32;Quadrado;19,5 m;5,00;Grama;09/09/2023;PA2013-2324;https://pergamum.anac.gov.br/arquivos/PA2013-2324.pdf;;;;;;
SWWN;RJ0169;Pingo D'Água;ANGRA DOS REIS;Rio de Janeiro;No solo;-22,998611;-44,436667;22°59'55.0"S;044°26'12.0"W;100,0;VFR;VFR;33;Quadrado;21 m;6,00;Concreto;12/02/2025;PA2015-0374;https://pergamum.anac.gov.br/arquivos/PA2015-0374.pdf;;;;;;
SDEK;SP0318;Barra do Una;SÃO SEBASTIÃO;São Paulo;No solo;-23,735833;-45,746944;23°44'09.1"S;045°44'49.0"W;12,0;VFR;VFR;7 24;Quadrado;21 m;4,00;Grama;11/07/2022;PA2012-1385;https://pergamum.anac.gov.br/arquivos/PA2012-1385.pdf;;;;;;
SDVD;RJ0059;Vila Real;PETRÓPOLIS;Rio de Janeiro;No solo;-22,409167;-43,148056;22°24'33.0"S;043°08'53.0"W;687,0;VFR;;12;Quadrado;19,5 m;3,00;Grama;04/09/2030;PA2020-2017;https://pergamum.anac.gov.br/arquivos/PA2020-2017.pdf;;;;;;
SJWR;RJ0119;Heligalo;ANGRA DOS REIS;Rio de Janeiro;No solo;-23,034167;-44,201944;23°02'03.0"S;044°12'07.0"W;105,0;VFR;VFR;31;Quadrado;21 m;5,00;Grama;21/12/2030;PA2020-3646;https://pergamum.anac.gov.br/arquivos/PA2020-3646.pdf;;;;;;
SJFH;SP0618;I.I.J.O.- Rosário;GUAÍRA;São Paulo;No solo;-20,4125;-48,217222;20°24'45.0"S;048°13'02.0"W;551,0;VFR;VFR;16;Quadrado;21 m;4,50;Grama;26/10/2030;PA2020-2625;https://pergamum.anac.gov.br/arquivos/PA2020-2625.pdf;;;;;;
SNPB;SC0110;Bravíssima Private Residence;ITAJAÍ;Santa Catarina;No solo;-26,934167;-48,633056;26°56'03.0"S;048°37'59.0"W;77,0;VFR;VFR;18;Quadrado;20 m;8,00;Concreto;17/07/2029;PA2019-2055;https://pergamum.anac.gov.br/arquivos/PA2019-2055.pdf;;;;;;
SJOQ;SP0642;Cristália;ITAPIRA;São Paulo;No solo;-22,4677778;-46,4675;22°28'04.11"S;046°43'03.12"W;666,0;VFR;VFR;17;Quadrado;20 m;4,50;Concreto;27/06/2022;PA2012-1278;https://pergamum.anac.gov.br/arquivos/PA2012-1278.pdf;;;;;;
SIAV;SP0464;Helipark;CARAPICUÍBA;São Paulo;No solo;-23,564722;-46,830278;23°33'53.0"S;046°49'49.0"W;790,0;VFR;VFR;23;Quadrado;25,7 m;12,00;Concreto;16/07/2022;PA2014-1400;https://pergamum.anac.gov.br/arquivos/PA2014-1400.pdf;;;;;;
SDRE;RJ0054;Recreio;RIO DE JANEIRO;Rio de Janeiro;No solo;-23,008056;-43,446944;23°00'29.0"S;043°26'49.0"W;8,0;VFR;VFR;9 27;Quadrado;18,9 m;10,00;Concreto;17/10/2022;PA2012-2183;https://pergamum.anac.gov.br/arquivos/PA2012-2183.pdf;;;;;;
SIOX;PR0110;Palhano Premium;LONDRINA;Paraná;No solo;-23,335278;-51,176667;23°20'07.7"S;051°10'36.1"W;692,0;VFR;VFR;6 24;Quadrado;21 m;4,50;Concreto;09/11/2025;PA2015-2854;https://pergamum.anac.gov.br/arquivos/PA2015-2854.pdf;;;;;;
SJUX;RJ0115;MBP - Metalúrgica Barra do Piraí;BARRA DO PIRAÍ;Rio de Janeiro;No solo;-22,476111;-43,851667;22°28'34.6"S;043°51'06.1"W;360,0;VFR;VFR;9;Quadrado;21 m;5,00;Concreto;11/03/2024;PA2014-0549;https://pergamum.anac.gov.br/arquivos/PA2014-0549.pdf;;;;;;
SJQW;RS0108;Warna Roos;SANTA BÁRBARA DO SUL;Rio Grande do Sul;No solo;-28,181111;-53,216667;28°10'52.0"S;053°13'00.0"W;550,0;VFR;;35;Quadrado;20 m;2,80;Grama;25/03/2031;PA2021-4491;https://pergamum.anac.gov.br/arquivos/PA2021-4491.pdf;;;;;;
SSQY;SP0774;Centro Empresarial de São Paulo;SÃO PAULO;São Paulo;Elevado;-23,651111;-46,727778;23°39'04.0"S;046°43'40.0"W;772,0;VFR;VFR;3 20;Quadrado;21 m;5,00;Concreto;11/07/2022;PA2014-3142;https://pergamum.anac.gov.br/arquivos/PA2014-3142.pdf;;;;;;
SIWM;SP0569;MAGNUM RESIDÊNCIA;ARAÇOIABA DA SERRA;São Paulo;No solo;-23,510278;-47,579167;23°30'37.1"S;047°34'45.2"W;600,0;VFR;;19;Quadrado;18 m;3,00;Grama;23/11/2025;PA2015-3115;https://pergamum.anac.gov.br/arquivos/PA2015-3115.pdf;;;;;;
SNWW;SP0736;Paradise Golf;MOGI DAS CRUZES;São Paulo;No solo;-23,590556;-46,258611;23°35'26.0"S;046°15'31.0"W;755,0;VFR;VFR;7 24;Quadrado;24 m;5,00;Concreto;28/02/2022;PA2016-1954;https://pergamum.anac.gov.br/arquivos/PA2016-1954.pdf;;;;;;
SIDL;SP0481;Deus é Amor;SÃO PAULO;São Paulo;Elevado;-23,555833;-46,624722;23°33'21.0"S;046°37'29.0"W;754,0;VFR;VFR;31;Quadrado;18 m;3,00;Concreto;10/10/2023;PA2013-2647;https://pergamum.anac.gov.br/arquivos/PA2013-2647.pdf;;;;;;
SJWJ;SP0673;HPE;SÃO PAULO;São Paulo;Elevado;-23,67;-46,703056;23°40'12.0"S;046°42'11.0"W;739,0;VFR;VFR;34;Quadrado;21 m;5,00;Metálico;07/03/2022;PA2016-2756;https://pergamum.anac.gov.br/arquivos/PA2016-2756.pdf;;;;;;
SSYG;MA0072;Veja;PAÇO DO LUMIAR;Maranhão;No solo;-2,5252778;-44,125278;02°31'31.8"S;044°07'31.7"W;42,0;VFR;VFR;4;Quadrado;19,5 m;4,00;Concreto;23/07/2023;PA2013-1890;https://pergamum.anac.gov.br/arquivos/PA2013-1890.pdf;;;;;;
SJGA;AM0059;Hospital Universitário Getúlio Vargas;MANAUS;Amazonas;Elevado;-3,1161111;-60,019167;03°06'58.0"S;060°01'09.0"W;122,0;VFR;VFR;11;Quadrado;19,5 m;3,00;Concreto;16/11/2026;PA2016-2892;https://pergamum.anac.gov.br/arquivos/PA2016-2892.pdf;;;;;;
SJIM;MG0242;Polícia Militar de Minas Gerais - Juíz de Fora;JUIZ DE FORA;Minas Gerais;No solo;-21,736944;-43,364444;21°44'13.0"S;043°21'52.0"W;716,0;VFR;VFR;2 20;Quadrado;25,35 m;4,00;Concreto;24/10/2026;PA2016-2847;https://pergamum.anac.gov.br/arquivos/PA2016-2847.pdf;;;;;;
SJZU;SP0686;Seculum;SÃO PAULO;São Paulo;No solo;-23,583889;-46,683889;23°35'02.0"S;046°41'02.0"W;794,0;VFR;VFR;3;Quadrado;21 m;4,50;Concreto;04/10/2022;PA2012-2010;https://pergamum.anac.gov.br/arquivos/PA2012-2010.pdf;;;;;;
SIGB;SC0050;Mormaii;GAROPABA;Santa Catarina;No solo;-28,043056;-48,625556;28°02'35.0"S;048°37'32.0"W;52,0;VFR;VFR;3 21;Quadrado;21 m;6,00;Concreto;09/11/2022;PA2018-1471;https://pergamum.anac.gov.br/arquivos/PA2018-1471.pdf;;;;;;
SJDD;SP0608;Jardim das Perdizes;SÃO PAULO;São Paulo;Elevado;-23,52;-46,68;23°31'12.0"S;046°40'48.0"W;824,0;VFR;VFR;29;Quadrado;21 m;4,50;Concreto;05/09/2028;PA2018-2636;https://pergamum.anac.gov.br/arquivos/PA2018-2636.pdf;;;;;;
SIFL;SC0049;FIESC;FLORIANÓPOLIS;Santa Catarina;Elevado;-27,592222;-48,493056;27°35'32.0"S;048°29'35.0"W;32,0;VFR;VFR;14;Quadrado;24 m;3,00;Concreto;;PA2015-2605;https://pergamum.anac.gov.br/arquivos/PA2015-2605.pdf;;;;;;
SWUP;SP0834;Almenat;EMBU DAS ARTES;São Paulo;Elevado;-23,646389;-46,8825;23°38'47.0"S;046°52'57.0"W;916,0;VFR;;8 17;Quadrado;19,5 m;4,00;Concreto;02/12/2025;PA2015-3190;https://pergamum.anac.gov.br/arquivos/PA2015-3190.pdf;;;;;;
SSSE;PR0145;Jihad Dehaini;ARAUCÁRIA;Paraná;No solo;-25,576667;-49,394444;25°34'36.0"S;049°23'40.0"W;906,0;VFR;;32;Quadrado;18 m;2,00;Concreto;06/02/2025;PA2015-0278;https://pergamum.anac.gov.br/arquivos/PA2015-0278.pdf;;;;;;
SIPZ;SP0541;Papaiz;DIADEMA;São Paulo;Elevado;-23,676389;-46,618056;23°40'35.0"S;046°37'05.0"W;818,0;VFR;Sem Operação;31;Quadrado;18 m;3,00;Concreto;26/04/2022;PA2013-0880;https://pergamum.anac.gov.br/arquivos/PA2013-0880.pdf;;;;;;
SIKF;SP0516;Plaza Iguatemi;SÃO PAULO;São Paulo;Elevado;-23,576667;-46,686667;23°34'36.0"S;046°41'12.0"W;832,0;VFR;VFR;8;Quadrado;24 m;10,00;Concreto;02/06/2031;PA2021-5090;https://pergamum.anac.gov.br/arquivos/PA2021-5090.pdf;;;;;;
SDGN;PE0021;Empresarial Pontes Corporate Center;RECIFE;Pernambuco;No solo;-8,1316667;-34,903889;08°07'54.3"S;034°54'14.8"W;88,0;VFR;VFR;1 19;Quadrado;18 m;3,00;Concreto;24/01/2023;PA2013-0193;https://pergamum.anac.gov.br/arquivos/PA2013-0193.pdf;;;;;;
SNPE;SP1139;Engenho D'Água;ILHABELA;São Paulo;No solo;-23,7922222;-45,358611;23°47'32.06"S;045°21'31.7"W;60,0;VFR;Sem Operação;12;Quadrado;;3,00;Grama;19/11/2030;PA2020-3024;https://pergamum.anac.gov.br/arquivos/PA2020-3024.pdf;;;;;;
SIXR;SP0573;Fazenda Santa Maria;VOTORANTIM;São Paulo;No solo;-23,550556;-47,366944;23°33'02.5"S;047°22'01.1"W;792,0;VFR;;9 27;Quadrado;18,6 m;6,00;Concreto;01/08/2023;PA2013-1960;https://pergamum.anac.gov.br/arquivos/PA2013-1960.pdf;;;;;;
SNCD;PE0040;Catuama;GOIANA;Pernambuco;No solo;-7,6633333;-34,838056;07°39'48.0"S;034°50'17.0"W;5,0;VFR;VFR;13 31;Quadrado;22 m;3,00;Paralelepípedo;24/10/2022;PA2014-1205;https://pergamum.anac.gov.br/arquivos/PA2014-1205.pdf;;;;;;
SNZM;PE0051;JCPM Trade Center;RECIFE;Pernambuco;Elevado;-8,0897222;-34,881944;08°05'23.0"S;034°52'55.0"W;86,0;VFR;VFR;13 31;Quadrado;20 m;4,00;Concreto;22/04/2031;PA2021-4783;https://pergamum.anac.gov.br/arquivos/PA2021-4783.pdf;;;;;;
SJBL;SP0597;Fazenda São José;RIO CLARO;São Paulo;No solo;-22,330556;-47,489167;22°19'50.0"S;047°29'21.0"W;644,0;VFR;VFR;32;Quadrado;21 m;6,00;Grama;23/05/2024;PA2014-1206;https://pergamum.anac.gov.br/arquivos/PA2014-1206.pdf;;;;;;
SDEW;SP0321;Júlio Simões - Garagem;MOGI DAS CRUZES;São Paulo;No solo;-23,541667;-46,229167;23°32'30.8"S;046°13'45.5"W;750,0;VFR;VFR;33;Quadrado;20 m;3,00;Concreto;17/07/2025;PA2015-1888;https://pergamum.anac.gov.br/arquivos/PA2015-1888.pdf;;;;;;
SJZJ;SP0685;Villa Dória;CAMPOS DO JORDÃO;São Paulo;No solo;-22,698056;-45,529722;22°41'53.0"S;045°31'47.0"W;1592,0;VFR;VFR;25;Quadrado;21 m;6,00;Grama;09/09/2030;PA2020-2120;https://pergamum.anac.gov.br/arquivos/PA2020-2120.pdf;;;;;;
SJPJ;SP0647;Prefeitura do Município de Jundiaí;JUNDIAÍ;São Paulo;No solo;-23,171389;-46,900278;23°10'17.0"S;046°54'01.0"W;748,0;VFR;;8;Quadrado;21 m;6,00;Concreto;03/05/2022;PA2012-0822;https://pergamum.anac.gov.br/arquivos/PA2012-0822.pdf;;;;;;
SJIA;BA0203;Ipiaú;ITAGIBÁ;Bahia;No solo;-14,153333;-39,699722;14°09'12.0"S;039°41'59.0"W;131,0;VFR;;11;Quadrado;26 m;9,00;Concreto;01/09/2021;PA2011-1645;https://pergamum.anac.gov.br/arquivos/PA2011-1645.pdf;;;;;;
SICX;BA0192;Edifício Salvador Trade Center;SALVADOR;Bahia;Elevado;-12,983889;-38,453611;12°59'02.0"S;038°27'13.0"W;106,0;VFR;VFR;22 31;Quadrado;19,5 m;3,00;Concreto;20/07/2022;PA2012-1458;https://pergamum.anac.gov.br/arquivos/PA2012-1458.pdf;;;;;;
SJXP;SP0678;Alice Maria Sampaio Ferreira;SÃO PAULO;São Paulo;Elevado;-23,608611;-46,694167;23°36'31.0"S;046°41'39.0"W;786,0;VFR;VFR;32;Quadrado;18 m;4,00;Concreto;26/03/2022;PA2012-0543;https://pergamum.anac.gov.br/arquivos/PA2012-0543.pdf;;;;;;
SIIR;SP0506;Brascan Century Plaza;SÃO PAULO;São Paulo;Elevado;-23,584167;-46,675556;23°35'03.0"S;046°40'32.0"W;842,0;VFR;VFR;36;Quadrado;21 m;4,50;Concreto;14/11/2024;PA2014-2683;https://pergamum.anac.gov.br/arquivos/PA2014-2683.pdf;;;;;;
SJAN;SP0589;Panamérica Park;SÃO PAULO;São Paulo;Elevado;-23,653611;-46,725278;23°39'13.0"S;046°43'31.0"W;741,0;VFR;VFR;25;Quadrado;21 m;6,00;Concreto;29/03/2031;PA2021-4592;https://pergamum.anac.gov.br/arquivos/PA2021-4592.pdf;;;;;;
SJOV;SP0643;C.B.E . Companhia Brasileira de Equipamento;RIBEIRÃO GRANDE;São Paulo;No solo;-24,148611;-48,344167;24°08'55.0"S;048°20'39.0"W;754,0;VFR;VFR;3 13;Quadrado;22 m;6,00;Concreto;28/02/2022;PA2012-0377;https://pergamum.anac.gov.br/arquivos/PA2012-0377.pdf;;;;;;
